11	10,12,19,22,26,28,30,32,33,35,37,38,31,28,27,26,25,24,23,22,21,22,22,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,21,21,21,21,22,22,22,21,21,21,21,21,23,22,24,26,27,29,31,39,37,37,35,33,31,29,26,24,0,0,31,61,67,70,74,77,79,81,83,85,86,39,31,28,26,24,22,22,22,21,21,21,21,21,21,21,21,22,22,22,24,26,27,30,36,88,86,84,82,79,77,75,72,69,67
12	9,7,4,25,28,29,31,33,35,38,40,41,41,28,23,23,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,20,23,24,42,41,41,40,39,38,38,35,33,30,0,0,1,71,88,89,89,88,89,89,89,89,89,23,21,21,20,20,20,20,20,20,20,20,20,20,21,22,23,23,24,24,22,22,22,21,23,27,81,80,79,78,76,75,72,68,64
13	0,0,0,11,18,21,25,28,31,33,33,34,36,36,31,28,25,24,22,22,22,22,21,20,20,20,20,20,20,20,20,21,22,21,22,22,23,25,26,28,35,34,32,31,30,29,32,34,35,36,33,28,25,23,23,22,21,22,21,21,20,21,21,21,20,20,19,19,19,21,21,20,20,20,20,22,21,23,25,25,27,29,37,35,35,33,31,29,25,23,19,15,0,0,4,19,41,51,60,67,73,77,81,81,78,69,55,47,42,40,36,36,33,32,32,31,30,31,31,32,34,35,38,40,42,46,51,59,76,81,80,78,73,68,62,54,47,33,10
14	0,0,0,0,13,19,23,26,30,32,34,35,37,37,31,27,26,24,23,22,22,21,21,21,21,20,20,20,20,20,20,20,21,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,21,24,26,25,28,31,38,36,34,32,30,28,26,23,19,14,0,0,52,60,65,69,72,75,77,79,80,82,32,28,26,25,23,23,23,22,21,20,20,20,20,20,20,21,21,22,23,24,26,26,27,30,70,80,79,77,75,73,71,67,63,58,39
15	0,0,0,11,18,22,25,28,30,32,33,34,36,36,38,29,28,25,23,24,22,22,22,20,21,22,22,22,22,22,21,21,21,22,22,23,25,26,27,30,37,35,33,31,30,28,30,33,35,37,39,32,29,26,25,24,24,23,23,23,22,22,22,22,21,20,20,20,21,22,22,22,22,22,22,22,23,26,27,28,29,32,38,37,36,34,32,30,28,25,22,18,16,31,47,56,63,68,74,77,81,82,79,71,57,50,44,40,38,37,35,33,33,33,33,33,33,33,36,38,39,43,47,47,52,59,81,82,80,77,72,68,64,58,50,40,23,0,0
16	0,0,0,2,27,33,34,35,36,37,38,39,40,27,24,22,21,20,20,21,20,20,19,19,19,18,18,18,18,18,19,19,19,20,20,20,19,20,21,23,25,34,39,38,37,38,38,39,40,41,38,24,22,22,20,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,22,23,25,26,41,41,40,39,38,37,36,0,0,3,87,88,88,88,88,88,88,88,88,63,31,27,26,26,25,24,24,25,25,25,25,26,26,27,28,27,28,29,30,34,35,39,44,49,59,84,82,79,74,70,64,56,50,46
17	0,0,0,10,17,21,25,27,29,31,33,35,36,30,28,25,23,23,22,21,20,19,21,22,21,21,20,19,19,19,21,20,20,20,21,20,21,21,22,24,26,31,31,29,29,29,30,31,33,34,30,25,23,22,22,21,20,21,20,20,19,20,20,19,19,19,19,19,19,19,20,20,20,20,21,21,21,21,21,22,24,25,28,29,36,34,32,30,28,26,23,21,0,0,0,23,42,53,59,65,70,74,80,82,77,58,49,44,39,35,34,31,30,29,27,27,26,26,27,27,29,31,32,35,39,42,49,61,71,83,81,76,71,67,62,54,44,26,22
18	3,5,10,29,31,33,34,35,37,38,38,39,36,25,23,23,22,21,20,20,20,20,20,19,20,20,20,20,19,19,19,20,21,21,22,22,22,23,23,27,38,39,39,38,38,38,39,40,40,41,28,24,22,22,21,21,20,20,19,19,19,19,19,20,20,19,19,19,19,19,19,20,20,20,20,19,20,20,21,21,22,24,25,28,42,41,40,40,39,38,37,36,0,0,0,87,89,89,89,89,89,89,89,89,82,34,30,29,28,28,30,31,31,30,29,28,28,28,28,28,29,32,32,34,38,40,42,46,53,74,84,83,81,75,70,63,58,49,45
19	0,0,8,14,20,23,26,29,31,33,35,36,35,29,25,25,23,23,23,22,21,21,21,21,21,20,17,14,11,11,12,12,12,11,12,12,12,12,12,12,13,12,12,13,12,12,13,12,13,12,12,13,12,12,13,12,13,12,12,12,12,12,13,12,13,12,12,13,12,12,12,12,13,13,12,12,13,12,13,13,13,14,14,36,45,45,45,45,45,45,45,45,0,0,12,20,24,27,32,34,37,40,42,45,40,40,41,42,42,40,38,37,39,39,39,38,38,39,40,40,38,39,39,40,41,41,42,44,52,49,47,45,42,40,36,33,29,25,22
20	0,0,13,19,22,25,27,29,31,33,34,35,30,26,25,23,23,22,21,20,21,21,22,21,21,21,21,21,23,23,23,22,20,22,22,23,22,24,24,27,33,33,31,31,30,30,31,33,35,37,30,27,24,23,23,22,22,23,23,21,21,21,22,21,20,20,20,20,20,22,22,22,22,22,22,23,23,23,23,25,26,27,32,37,37,35,33,31,29,27,24,22,0,0,12,34,48,57,64,69,73,80,82,84,80,65,51,47,40,36,35,33,32,30,29,29,28,28,29,29,31,33,35,38,42,47,53,68,80,84,82,78,73,68,62,56,44,32,28
21	0,0,0,0,11,16,21,25,28,30,32,34,36,37,33,28,26,24,23,22,22,21,20,20,19,19,18,17,13,9,9,10,10,11,11,12,13,12,13,13,13,13,13,14,13,13,13,13,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,12,13,13,12,13,13,12,12,12,12,13,13,13,18,44,44,44,44,44,44,44,44,0,0,0,9,17,21,25,29,32,35,38,40,43,45,43,42,42,41,38,38,38,38,38,37,36,37,37,38,37,39,38,38,38,38,40,39,42,43,51,48,46,44,42,39,38,34,30
22	13,11,4,33,39,37,35,36,38,39,40,41,41,42,26,23,23,22,21,21,21,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,24,24,26,43,43,42,41,41,40,39,38,37,35,32,27,0,0,64,87,89,89,89,89,89,89,89,89,89,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,26,26,25,26,29,30,36,87,85,82,82,82,79,76,70,66,62
23	14,12,13,34,28,28,33,37,38,39,40,41,42,24,23,22,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,19,19,21,22,23,27,43,42,41,40,39,38,37,35,32,27,0,0,0,12,87,89,89,89,89,89,89,89,89,75,21,20,20,20,20,20,20,20,20,20,20,20,21,21,20,20,21,22,21,22,24,25,26,29,87,87,84,81,78,76,76,72,66
24	0,0,0,0,5,7,9,11,13,15,16,17,17,17,16,15,15,15,15,14,14,14,14,13,13,13,13,12,12,12,12,12,11,12,11,12,19,27,29,32,34,35,37,38,39,40,41,33,29,28,25,24,22,22,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,23,24,26,27,30,33,38,36,34,32,30,28,26,22,18,0,0,0,22,32,39,43,49,52,56,59,62,65,68,49,46,46,46,45,42,41,38,37,38,37,36,36,36,36,37,36,36,36,37,35,35,35,37,53,49,47,45,43,41,39,35,31
